POST	/appointments	create	owner,admin,manager
GET	/appointments	findAll	(no Roles decorator)
GET	/appointments/:id	findOne	(no Roles decorator)
PATCH	/appointments/:id	update	owner,admin,manager
DELETE	/appointments/:id	remove	owner,admin
DELETE	/appointments/:id/hard	hardRemove	superadmin
POST	/appointments/smart-schedule	smartSchedule	owner,admin,manager
POST	/appointments/check-availability	checkAvailability	(no Roles decorator)
POST	/appointments/:id/confirm	confirm	owner,admin,manager
POST	/appointments/:id/complete	complete	owner,admin,manager,mechanic
POST	/appointments/:id/cancel	cancel	owner,admin,manager
POST	/appointments/:id/reschedule	reschedule	owner,admin,manager
GET	/appointments/:id/tracking	getTracking	(no Roles decorator)
GET	/appointments/customer/:customerId	findByCustomer	(no Roles decorator)
GET	/appointments/mechanic/:mechanicId	findByMechanic	(no Roles decorator)
GET	/appointments/stats/dashboard	getStats	owner,admin,manager
POST	/appointments/:id/rating	addRating	(no Roles decorator)
POST	/auth/login	login	(no Roles decorator)
POST	/auth/register-company	🏢 Регистрация новой компании с владельцем	(no Roles decorator)
POST	/auth/register-invite	📨 Регистрация по приглашению	(no Roles decorator)
POST	/auth/refresh	Обновление access по refresh (HttpOnly cookie)	(no Roles decorator)
POST	/auth/logout	Выход из системы (по cookie RT)	(no Roles decorator)
POST	/auth/logout-device	Выход с конкретного устройства	(no Roles decorator)
POST	/auth/logout-all-devices	Выход со всех устройств	(no Roles decorator)
GET	/auth/sessions	Список активных сессий	(no Roles decorator)
GET	/auth/me	Профиль текущего пользователя	(no Roles decorator)
POST	/auth/2fa/setup	2FA: подготовка (секрет и otpauth URL)	(no Roles decorator)
POST	/auth/2fa/enable	2FA: включить	(no Roles decorator)
POST	/auth/2fa/disable	2FA: отключить	(no Roles decorator)
GET	/auth/users	getUsers	company_admin,company_owner,superadmin,platform_admin
POST	/companies	create	AUTH_CONSTANTS.SYSTEM_ROLES.SUPERADMIN,AUTH_CONSTANTS.SYSTEM_ROLES.COMPANY_OWNER
GET	/companies	findAll	(no Roles decorator)
GET	/companies/:id	findOne	(no Roles decorator)
PATCH	/companies/:id	update	AUTH_CONSTANTS.SYSTEM_ROLES.SUPERADMIN,AUTH_CONSTANTS.SYSTEM_ROLES.COMPANY_OWNER
DELETE	/companies/:id	remove	AUTH_CONSTANTS.SYSTEM_ROLES.SUPERADMIN
PATCH	/companies/:id/status	setActive	AUTH_CONSTANTS.SYSTEM_ROLES.SUPERADMIN,AUTH_CONSTANTS.SYSTEM_ROLES.COMPANY_OWNER
POST	/customers	Создание нового клиента	owner,admin,manager
GET	/customers	Получение списка клиентов	(no Roles decorator)
GET	/customers/:id	Получение клиента по ID	(no Roles decorator)
PATCH	/customers/:id	Обновление данных клиента	owner,admin,manager
DELETE	/customers/:id	Деактивация/мягкое удаление клиента	owner,admin
DELETE	/customers/:id/hard	Полное удаление клиента (только суперадмин)	superadmin
PATCH	/customers/:id/status	Изменение статуса активности клиента	owner,admin
GET	/customers/stats/dashboard	Статистика по клиентам	owner,admin,manager
GET	/customers/:id/export	Экспорт ПДн клиента (152‑ФЗ)	owner,admin,manager
POST	/customers/:id/consent/revoke	Отзыв согласия субъекта ПДн	owner,admin,manager
DELETE	/customers/:id/anonymize	Анонимизация ПДн клиента (152‑ФЗ)	owner,admin,manager
GET	/inventory/alerts/analytics/stats	getStats	superadmin,company_owner,company_admin,inventory_manager
GET	/inventory/alerts/critical/list	getCriticalAlerts	superadmin,company_owner,company_admin,inventory_manager
GET	/inventory/alerts/settings/current	getSettings	superadmin,company_owner,company_admin,inventory_manager
PATCH	/inventory/alerts/settings/update	updateSettings	company_owner,company_admin
POST	/inventory/alerts/test/notification	sendTestNotification	company_owner,company_admin
DELETE	/inventory/alerts/cleanup/expired	cleanupExpiredAlerts	company_owner,company_admin
POST	/inventory/alerts/batch/dismiss	batchDismissAlerts	company_owner,company_admin,inventory_manager
GET	/inventory/alerts	findAll	superadmin,company_owner,company_admin,inventory_manager
GET	/inventory/alerts/:id	findOne	superadmin,company_owner,company_admin,inventory_manager
DELETE	/inventory/alerts/:id/dismiss	dismissAlert	company_owner,company_admin,inventory_manager
GET	/inventory	findAll	company_owner,company_admin,inventory_manager
GET	/inventory/summary/overview	Сводная информация по складу	company_owner,company_admin,inventory_manager
GET	/inventory/alerts/low-stock	Уведомления о низких остатках	company_owner,company_admin,inventory_manager
GET	/inventory/availability/:partId	Проверка доступности запчасти	company_owner,company_admin,inventory_manager
GET	/inventory/reports/turnover	Отчет по оборачиваемости склада	company_owner,company_admin,inventory_manager
POST	/inventory/reserve	Резервирование запчастей	company_owner,company_admin,inventory_manager
DELETE	/inventory/reserve/:reservationId	Освобождение резерва	company_owner,company_admin,inventory_manager
GET	/inventory/:id	Получение позиции на складе	company_owner,company_admin,inventory_manager
PATCH	/inventory/:id	Обновление информации о складе	company_owner,company_admin,inventory_manager
GET	/parts/search/:query	search	company_owner,company_admin,inventory_manager
GET	/parts/category/:categoryId	findByCategory	company_owner,company_admin,inventory_manager
GET	/parts/popular/list	getPopular	company_owner,company_admin,inventory_manager
GET	/parts/stats/dashboard	getStats	company_owner,company_admin,inventory_manager
